income_msoa,pct_manag_prof,median_age,pct_minority,income_msoa_tercile,pct_manag_prof_tercile,median_age_tercile,pct_minority_tercile,stable_lockdown,stable_covid
54000.0,41.498,40.909,32.728,High,High,Medium,High,0,0
52128.571,40.444,44.744,11.668,High,High,Medium,Medium,1,1
40900.0,35.51,54.006,1.857,Medium,Medium,High,Low,0,1
58400.0,45.846,41.374,18.137,High,High,Medium,High,1,1
38130.0,24.373,38.721,12.949,Low,Low,Low,Medium,1,1
33700.0,18.436,35.879,11.467,Low,Low,Low,Medium,1,1
55740.0,40.814,46.164,5.651,High,High,High,Medium,1,1
50350.0,37.518,47.475,8.366,High,Medium,High,Medium,0,1
38884.211,28.947,41.771,8.129,Low,Low,Medium,Medium,1,0
46866.667,35.937,40.529,14.622,Medium,Medium,Medium,Medium,0,0
40552.941,31.895,44.675,7.213,Low,Medium,Medium,Medium,1,1
54213.043,45.718,45.174,10.739,High,High,High,Medium,1,0
55000.0,32.674,41.737,33.647,High,Medium,Medium,High,0,0
40533.333,31.712,42.044,38.884,Low,Medium,Medium,High,1,0
28800.0,15.025,32.819,25.534,Low,Low,Low,High,1,1
43700.0,42.257,49.888,2.818,Medium,High,High,Low,1,0
47722.857,,,,Medium,,,,0,0
37050.0,27.188,42.952,5.711,Low,Low,Medium,Medium,1,1
33566.667,29.436,41.023,12.52,Low,Low,Medium,Medium,0,1
44486.667,33.837,43.52,3.837,Medium,Medium,Medium,Low,1,1
55200.0,46.704,39.613,20.783,High,High,Medium,High,1,1
72462.5,,,,High,,,,1,0
78000.0,57.194,43.098,11.56,High,High,Medium,Medium,1,0
44955.556,,,,Medium,,,,1,1
53776.471,47.469,37.998,8.593,High,High,Low,Medium,1,0
44100.0,28.929,37.737,16.14,Medium,Low,Low,High,1,1
52700.0,42.855,45.167,2.352,High,High,High,Low,1,1
56392.308,41.595,36.882,16.123,High,High,Low,High,0,0
44671.429,40.672,52.955,2.92,Medium,High,High,Low,1,0
35100.0,32.891,55.447,2.445,Low,Medium,High,Low,1,1
44400.0,38.162,59.112,3.377,Medium,Medium,High,Low,0,0
67277.273,51.603,44.296,36.098,High,High,Medium,High,0,0
48833.333,33.573,41.461,11.082,Medium,Medium,Medium,Medium,0,1
34300.0,24.935,40.711,11.352,Low,Low,Medium,Medium,1,1
37700.0,30.149,50.952,4.991,Low,Medium,High,Low,0,1
45633.333,39.004,47.265,15.356,Medium,Medium,High,Medium,1,0
44361.111,30.931,40.31,20.305,Medium,Medium,Medium,High,0,0
38900.0,34.234,51.272,4.192,Low,Medium,High,Low,0,0
40270.588,36.197,49.015,2.263,Low,Medium,High,Low,1,1
37855.556,17.907,37.931,6.979,Low,Low,Low,Medium,0,1
50150.0,21.755,34.279,55.903,High,Low,Low,High,0,0
42393.939,28.306,35.611,24.522,Medium,Low,Low,High,0,1
51105.556,37.103,40.116,24.765,High,Medium,Medium,High,1,1
55700.0,41.891,43.197,3.72,High,High,Medium,Low,0,0
45133.333,29.261,53.851,2.087,Medium,Low,High,Low,0,1
53342.857,42.245,38.636,36.419,High,High,Low,High,1,0
34471.429,27.41,42.504,1.743,Low,Low,Medium,Low,0,0
50881.25,42.917,43.041,6.429,High,High,Medium,Medium,0,0
33985.714,,,,Low,,,,1,1
35764.706,,,,Low,,,,1,1
54104.762,47.903,41.257,17.298,High,High,Medium,High,0,0
42000.0,28.736,40.368,7.347,Medium,Low,Medium,Medium,0,0
47041.176,42.109,43.5,11.827,Medium,High,Medium,Medium,0,0
56275.0,54.523,42.937,15.01,High,High,Medium,Medium,0,1
42000.0,32.222,44.813,4.897,Medium,Medium,High,Low,0,1
47209.091,40.371,44.78,5.606,Medium,High,High,Medium,0,0
41400.0,35.477,51.915,1.617,Medium,Medium,High,Low,0,0
50100.0,41.86,36.314,43.683,High,High,Low,High,0,0
33550.0,13.531,30.45,70.37,Low,Low,Low,High,1,1
56975.0,51.813,33.058,12.343,High,High,Low,Medium,0,0
42854.545,30.335,40.036,9.639,Medium,Medium,Medium,Medium,1,0
47100.0,30.551,38.295,10.498,Medium,Medium,Low,Medium,1,1
46660.0,36.319,41.881,36.512,Medium,Medium,Medium,High,1,0
50409.091,22.809,22.552,13.253,High,Low,Low,Medium,1,1
51327.273,47.346,47.799,4.441,High,High,High,Low,1,1
41900.0,32.33,53.45,1.15,Medium,Medium,High,Low,1,0
70000.0,47.804,44.7,9.896,High,High,Medium,Medium,0,0
36107.692,22.486,46.954,2.333,Low,Low,High,Low,0,0
29345.455,20.358,41.968,2.153,Low,Low,Medium,Low,0,1
56718.75,41.513,42.732,4.316,High,High,Medium,Low,1,0
75400.0,51.539,46.306,28.424,High,High,High,High,0,0
43100.0,34.417,49.738,1.681,Medium,Medium,High,Low,1,1
49369.231,37.091,45.65,3.353,High,Medium,High,Low,1,0
31600.0,19.45,34.73,5.223,Low,Low,Low,Medium,1,1
38181.818,33.054,48.806,2.541,Low,Medium,High,Low,0,1
46080.952,41.808,45.423,3.325,Medium,High,High,Low,1,1
40057.143,22.736,38.423,23.05,Low,Low,Low,High,1,1
39430.769,25.715,42.369,4.063,Low,Low,Medium,Low,1,1
40900.0,19.308,35.277,45.383,Medium,Low,Low,High,1,0
